"","City","Date","Count"
"140","AMAZONAS",2020-10-29,4
"141","AMAZONAS",2020-04-29,37
"142","AMAZONAS",2020-05-29,23
"143","AMAZONAS",2020-06-29,2
"144","AMAZONAS",2020-07-29,6
"145","AMAZONAS",2020-08-29,1
"146","AMAZONAS",2020-09-29,2
"147","AMAZONAS",2020-10-03,10
"148","AMAZONAS",2020-11-03,7
"149","AMAZONAS",2020-05-03,39
"150","AMAZONAS",2020-06-03,33
"151","AMAZONAS",2020-07-03,1
"152","AMAZONAS",2020-08-03,3
"153","AMAZONAS",2020-10-30,6
"154","AMAZONAS",2020-04-30,54
"155","AMAZONAS",2020-05-30,4
"156","AMAZONAS",2020-06-30,3
"157","AMAZONAS",2020-07-30,8
"158","AMAZONAS",2020-10-31,4
"159","AMAZONAS",2020-03-31,1
"160","AMAZONAS",2020-05-31,8
"161","AMAZONAS",2020-07-31,8
"162","AMAZONAS",2020-11-04,4
"163","AMAZONAS",2020-05-04,77
"164","AMAZONAS",2020-06-04,16
"165","AMAZONAS",2020-07-04,4
"166","AMAZONAS",2020-08-04,3
"167","AMAZONAS",2020-09-04,1
"168","AMAZONAS",2020-10-05,2
"169","AMAZONAS",2020-11-05,6
"170","AMAZONAS",2020-04-05,1
"171","AMAZONAS",2020-05-05,98
"172","AMAZONAS",2020-06-05,22
"173","AMAZONAS",2020-07-05,1
"174","AMAZONAS",2020-08-05,1
"175","AMAZONAS",2020-10-06,1
"176","AMAZONAS",2020-11-06,21
"177","AMAZONAS",2020-05-06,95
"178","AMAZONAS",2020-06-06,4
"179","AMAZONAS",2020-07-06,2
"180","AMAZONAS",2020-10-07,2
"181","AMAZONAS",2020-11-07,3
"182","AMAZONAS",2020-04-07,1
"183","AMAZONAS",2020-05-07,57
"184","AMAZONAS",2020-06-07,19
"185","AMAZONAS",2020-07-07,3
"186","AMAZONAS",2020-08-07,1
"187","AMAZONAS",2020-09-07,1
"188","AMAZONAS",2020-10-08,1
"189","AMAZONAS",2020-11-08,1
"190","AMAZONAS",2020-05-08,28
"191","AMAZONAS",2020-06-08,10
"192","AMAZONAS",2020-07-08,4
"193","AMAZONAS",2020-08-08,2
"194","AMAZONAS",2020-10-09,1
"195","AMAZONAS",2020-11-09,3
"196","AMAZONAS",2020-05-09,21
"197","AMAZONAS",2020-06-09,19
"198","AMAZONAS",2020-07-09,6
"199","AMAZONAS",2020-09-09,1
"200","ANTIOQUIA",2020-10-01,2503
"201","ANTIOQUIA",2020-11-01,937
"202","ANTIOQUIA",2020-04-01,12
"203","ANTIOQUIA",2020-05-01,11
"204","ANTIOQUIA",2020-06-01,113
"205","ANTIOQUIA",2020-07-01,1061
"206","ANTIOQUIA",2020-08-01,1454
"207","ANTIOQUIA",2020-09-01,1279
"208","ANTIOQUIA",2020-10-10,1703
"209","ANTIOQUIA",2020-11-10,1364
"210","ANTIOQUIA",2020-03-10,11
"211","ANTIOQUIA",2020-04-10,19
"212","ANTIOQUIA",2020-05-10,15
"213","ANTIOQUIA",2020-06-10,103
"214","ANTIOQUIA",2020-07-10,1757
"215","ANTIOQUIA",2020-08-10,1517
"216","ANTIOQUIA",2020-09-10,1280
"217","ANTIOQUIA",2020-10-11,1763
"218","ANTIOQUIA",2020-11-11,1178
"219","ANTIOQUIA",2020-03-11,3
"220","ANTIOQUIA",2020-04-11,7
"221","ANTIOQUIA",2020-05-11,22
"222","ANTIOQUIA",2020-06-11,89
"223","ANTIOQUIA",2020-07-11,1755
"224","ANTIOQUIA",2020-08-11,1265
"225","ANTIOQUIA",2020-09-11,1075
"226","ANTIOQUIA",2020-10-12,1837
"227","ANTIOQUIA",2020-11-12,1064
"228","ANTIOQUIA",2020-03-12,1
"229","ANTIOQUIA",2020-04-12,12
"230","ANTIOQUIA",2020-05-12,18
"231","ANTIOQUIA",2020-06-12,116
"232","ANTIOQUIA",2020-07-12,1567
"233","ANTIOQUIA",2020-08-12,1279
"234","ANTIOQUIA",2020-09-12,766
"235","ANTIOQUIA",2020-10-13,2205
"236","ANTIOQUIA",2020-11-13,1319
"237","ANTIOQUIA",2020-03-13,9
"238","ANTIOQUIA",2020-04-13,7
"239","ANTIOQUIA",2020-05-13,22
"240","ANTIOQUIA",2020-06-13,119
"241","ANTIOQUIA",2020-07-13,1888
"242","ANTIOQUIA",2020-08-13,1281
"243","ANTIOQUIA",2020-09-13,917
"244","ANTIOQUIA",2020-10-14,1291
"245","ANTIOQUIA",2020-11-14,1054
"246","ANTIOQUIA",2020-03-14,21
"247","ANTIOQUIA",2020-04-14,14
"248","ANTIOQUIA",2020-05-14,29
"249","ANTIOQUIA",2020-06-14,138
"250","ANTIOQUIA",2020-07-14,1995
"251","ANTIOQUIA",2020-08-14,1316
"252","ANTIOQUIA",2020-09-14,1183
"253","ANTIOQUIA",2020-10-15,3046
"254","ANTIOQUIA",2020-11-15,660
"255","ANTIOQUIA",2020-03-15,12
"256","ANTIOQUIA",2020-04-15,11
"257","ANTIOQUIA",2020-05-15,23
"258","ANTIOQUIA",2020-06-15,158
"259","ANTIOQUIA",2020-07-15,1446
"260","ANTIOQUIA",2020-08-15,1217
"261","ANTIOQUIA",2020-09-15,1221
"262","ANTIOQUIA",2020-10-16,2313
"263","ANTIOQUIA",2020-11-16,740
"264","ANTIOQUIA",2020-03-16,18
"265","ANTIOQUIA",2020-04-16,7
"266","ANTIOQUIA",2020-05-16,18
"267","ANTIOQUIA",2020-06-16,229
"268","ANTIOQUIA",2020-07-16,2179
"269","ANTIOQUIA",2020-08-16,1292
"270","ANTIOQUIA",2020-09-16,864
"271","ANTIOQUIA",2020-10-17,1580
"272","ANTIOQUIA",2020-11-17,903
"273","ANTIOQUIA",2020-03-17,13
"274","ANTIOQUIA",2020-04-17,3
"275","ANTIOQUIA",2020-05-17,18
"276","ANTIOQUIA",2020-06-17,232
"277","ANTIOQUIA",2020-07-17,1711
"278","ANTIOQUIA",2020-08-17,1222
"279","ANTIOQUIA",2020-09-17,1182
"280","ANTIOQUIA",2020-10-18,1474
"281","ANTIOQUIA",2020-11-18,839
"282","ANTIOQUIA",2020-03-18,18
"283","ANTIOQUIA",2020-04-18,7
"284","ANTIOQUIA",2020-05-18,34
"285","ANTIOQUIA",2020-06-18,215
"286","ANTIOQUIA",2020-07-18,1399
"287","ANTIOQUIA",2020-08-18,1589
"288","ANTIOQUIA",2020-09-18,991
"289","ANTIOQUIA",2020-10-19,2715
"290","ANTIOQUIA",2020-11-19,884
"291","ANTIOQUIA",2020-03-19,13
"292","ANTIOQUIA",2020-04-19,7
"293","ANTIOQUIA",2020-05-19,45
"294","ANTIOQUIA",2020-06-19,235
"295","ANTIOQUIA",2020-07-19,1353
"296","ANTIOQUIA",2020-08-19,1324
"297","ANTIOQUIA",2020-09-19,1057
"298","ANTIOQUIA",2020-10-02,1444
"299","ANTIOQUIA",2020-11-02,1081
"300","ANTIOQUIA",2020-03-02,1
"301","ANTIOQUIA",2020-04-02,9
"302","ANTIOQUIA",2020-05-02,5
"303","ANTIOQUIA",2020-06-02,79
"304","ANTIOQUIA",2020-07-02,826
"305","ANTIOQUIA",2020-08-02,1084
"306","ANTIOQUIA",2020-09-02,1292
"307","ANTIOQUIA",2020-10-20,1897
"308","ANTIOQUIA",2020-11-20,845
"309","ANTIOQUIA",2020-03-20,13
"310","ANTIOQUIA",2020-04-20,9
"311","ANTIOQUIA",2020-05-20,46
"312","ANTIOQUIA",2020-06-20,270
"313","ANTIOQUIA",2020-07-20,1258
"314","ANTIOQUIA",2020-08-20,1456
"315","ANTIOQUIA",2020-09-20,1297
"316","ANTIOQUIA",2020-10-21,2393
"317","ANTIOQUIA",2020-11-21,687
"318","ANTIOQUIA",2020-03-21,5
"319","ANTIOQUIA",2020-04-21,7
"320","ANTIOQUIA",2020-05-21,31
"321","ANTIOQUIA",2020-06-21,231
"322","ANTIOQUIA",2020-07-21,1665
"323","ANTIOQUIA",2020-08-21,1233
"324","ANTIOQUIA",2020-09-21,1177
